MSSV,Tin học,Nhập môn Công nghệ thông tin,Pháp luật,Giáo dục quốc phòng,Kỹ năng học tập,Giáo dục thể chất - Vovinam,Tiếng Anh 1.1,Tiếng Anh 1.2,Tiếng Anh 2.1,Tiếng Anh 2.2,Nhập môn lập trình,Xây dựng trang Web,Cơ sở dữ liệu,Lập trình PHP cơ bản,Lập trình cơ sở với JavaScript,Chính trị,Thiết kế Web với HTML5 & CSS3,Dự án mẫu (TKTW),Lập trình PHP 1,Thiết kế UI/UX,Kỹ năng phát triển bản thân,Lập trình Javascript nâng cao,Quản trị website,Lập trình ECMAScript,Dự án 1 (TKTW),Marketing trên Internet,NodeJS & Restful Web Service,Lập trình TypeScript,Lập trình Front-End Framework 1,Lập trình Front-End Framework 2,Khởi sự doanh nghiệp,Kỹ năng làm việc,Thực tập tốt nghiệp (TKTW),Dự án tốt nghiệp,,attendance_rate,assignment_avg,quiz_avg,late_submission,missed_deadlines
PS26902,7.4,,8.0,6.3,8.6,,7.8,,,,6.2,7.4,7.0,,6.6,9.7,6.4,6.0,6.6,8.0,,5.1,7.2,5.7,5.3,7.3,6.6,,5.1,5.8,7.2,,,,,0.79,6.2,5.1,2,0
PS26986,9.2,8.4,7.8,5.8,7.9,7.1,8.7,8.4,8.0,8.1,7.8,8.0,6.3,,6.7,9.3,7.7,8.5,7.2,7.0,,9.5,7.4,5.8,6.5,6.5,6.1,7.0,5.5,5.8,7.7,,1.0,7.0,,0.73,5.8,5.4,1,1
PS27099,9.5,,7.2,7.2,7.1,7.3,7.2,7.4,6.4,6.9,7.1,6.9,7.9,,6.6,8.5,6.9,8.0,6.5,7.4,,5.9,5.9,,5.0,6.8,,,,,8.0,,1.0,,,0.70,6.6,5.6,3,1
PS27463,9.0,,6.7,7.7,7.0,7.1,6.0,5.0,6.7,,6.5,6.6,7.6,,7.4,8.8,5.6,0.8,5.8,7.9,,6.0,7.0,1.5,4.5,6.7,1.4,0.6,3.6,,8.8,,,,,0.68,5.3,7.3,1,1
PS27468,1.0,-,7.0,7.0,7.8,7.5,9.3,9.0,8.1,6.8,7.7,4.3,,-,7.3,9.3,5.7,7.2,5.6,5.5,-,5.9,1.0,-,5.0,7.7,-,-,-,-,9.6,-,,-,-,-0.70,6.8,5.5,3,1
PS27623,9.9,,7.5,6.3,6.6,7.5,7.9,8.3,7.2,7.5,8.0,7.7,8.5,,7.9,8.5,6.6,8.0,7.8,7.9,,7.5,6.3,,7.9,7.1,,,,,7.7,,1.0,,,0.68,6.8,6.0,3,1
PS27660,9.3,,8.7,7.3,7.1,7.7,7.4,6.5,7.1,7.4,7.1,7.4,8.7,,7.3,9.2,7.5,5.4,7.3,5.9,,7.0,5.2,,5.7,9.4,,,,,9.3,,1.0,,,0.76,6.4,6.7,3,1
PS27839,8.8,9.2,6.8,5.3,9.2,7.8,*,*,8.3,7.4,6.6,5.8,6.5,7.1,6.5,9.0,5.5,9.5,6.2,6.7,7.3,6.0,5.5,6.1,5.8,6.3,5.8,7.5,6.9,6.8,6.8,7.4,1.0,9.2,,0.73,7.2,7.0,2,1
PS27880,7.5,,8.3,6.5,7.1,7.4,6.3,6.0,7.0,6.5,5.8,6.4,6.4,,6.3,9.0,5.8,5.4,6.2,6.4,,6.0,6.3,5.8,6.0,6.4,5.7,6.2,6.6,6.8,9.3,,1.0,6.6,,0.82,7.0,5.8,1,1
PS27883,1.0,,8.0,6.5,8.5,8.0,7.9,7.4,7.3,7.5,8.1,7.1,8.3,,6.7,7.2,6.9,8.3,6.9,6.2,,8.5,6.8,,5.6,6.2,,,,,9.0,,1.0,,,0.80,5.3,6.3,3,1
PS28128,9.6,,7.0,6.0,7.8,7.0,7.1,7.8,5.7,7.6,8.4,8.0,6.3,,6.1,8.5,9.1,7.0,6.9,7.1,,6.0,6.4,6.7,5.9,8.5,6.7,5.8,7.0,7.2,7.7,,1.0,3.1,,0.73,5.6,6.9,3,0
PS28548,7.7,,6.8,8.5,7.8,7.3,8.8,7.3,7.3,6.9,7.0,6.9,7.8,,8.7,8.3,6.4,6.2,5.6,8.1,,,6.9,1.9,,6.3,0.6,,,,,,,,,0.69,7.4,5.1,3,0
PS28758,8.0,,6.2,6.8,7.9,,4.0,,,,6.9,6.7,6.3,,8.2,7.2,5.8,,,6.9,,,8.0,,0.7,0.2,3.7,1.1,,,,,,,,0.68,6.4,6.9,2,0
PS28890,9.7,,8.2,8.2,8.2,8.9,8.7,7.9,0.7,,9.9,8.5,9.1,,8.0,9.0,9.6,6.0,6.3,9.3,,8.0,7.7,6.9,6.5,8.1,5.7,6.0,2.3,0.4,7.2,,,,,0.69,5.1,7.5,3,0
PS28936,8.1,,7.2,8.8,7.8,8.4,9.6,8.3,8.5,7.4,7.4,6.9,8.5,,8.1,9.8,8.0,8.0,6.0,8.2,,6.0,8.8,6.1,6.3,8.1,3.6,2.9,5.4,,8.3,,,,,0.36,7.1,5.2,2,0
PS29103,7.7,,7.0,8.0,7.7,6.4,8.3,7.7,7.5,8.0,7.7,7.9,8.2,,8.2,9.2,9.1,7.0,7.9,7.2,,6.5,7.3,6.8,6.7,7.5,6.2,6.1,5.5,6.1,7.6,,1.0,6.2,,0.67,5.4,6.5,1,1
PS29130,7.6,,6.7,8.7,7.9,7.7,6.4,3.7,,,7.8,7.4,8.3,,8.4,9.0,8.3,5.5,6.3,7.7,,6.6,7.2,7.1,6.2,7.7,6.7,6.6,5.6,7.2,7.7,,1.0,5.9,,0.82,6.8,5.9,1,0
PS29246,7.7,,7.3,8.5,7.2,7.2,8.5,7.2,7.3,7.6,8.2,5.5,8.3,,7.6,,8.7,0.5,0.6,8.8,,0.3,8.0,,,7.3,,,,,,,,,,0.70,5.4,6.4,2,1
PS29646,1.0,,6.3,,7.8,6.8,8.5,7.3,7.4,,6.7,1.6,7.2,,3.1,7.8,,,,,,,,,,0.2,,,,,,,,,,0.82,5.4,6.6,3,1
PS29776,8.5,,7.0,8.8,8.1,,1.0,8.2,8.3,7.1,7.3,7.8,2.2,,7.4,7.2,6.5,7.3,6.3,6.7,,5.0,6.9,,5.8,6.6,,,,,,,1.0,,,0.73,6.0,7.3,2,1
PS30203,6.9,,7.7,8.0,8.8,,7.8,2.1,,,7.5,7.6,6.8,,6.8,9.2,8.0,5.0,6.0,7.8,,7.0,6.6,,6.7,6.9,6.4,,2.4,,6.4,,,,,0.70,6.1,5.0,3,0
PS30307,6.0,,6.5,7.3,6.2,8.0,6.2,6.1,5.9,6.5,6.5,8.4,6.6,,8.1,7.2,8.0,6.0,6.4,6.9,,5.4,7.3,,5.6,7.0,,,,,6.2,,1.0,,,0.73,7.0,6.0,2,0
PS30335,6.5,8.6,,5.5,7.5,5.9,8.1,7.5,5.6,7.4,5.9,6.0,0.3,1.8,1.1,,5.5,6.0,6.0,5.6,7.0,,7.5,5.3,2.7,5.6,2.5,3.1,2.0,1.5,6.8,,,,,0.81,5.1,6.7,3,0
PS30568,6.9,,8.0,6.5,6.2,6.7,6.5,6.8,5.7,6.1,6.6,5.9,6.2,,6.3,8.2,9.0,0.8,2.2,5.7,,5.6,7.1,5.8,6.3,7.1,6.7,6.4,6.9,5.6,7.6,,,3.2,,0.77,7.4,6.7,1,0
PS30731,7.0,,6.7,,7.2,7.0,8.6,8.0,6.4,7.0,8.1,6.1,7.6,,6.8,8.0,7.0,,5.0,5.7,,6.5,,,4.6,3.5,,,,,7.0,,,,,0.74,6.0,6.6,2,1
PS30882,8.0,9.0,8.5,8.5,7.6,1.0,7.8,7.3,7.9,7.4,7.5,6.8,7.7,,8.3,1.0,7.0,6.5,7.6,7.2,,7.5,8.4,,6.4,6.8,,,,,7.3,,1.0,,,0.84,7.2,5.8,1,0
PS31028,7.5,,7.2,5.7,9.1,,7.9,6.1,0.3,,6.5,7.0,3.2,,6.9,7.3,7.0,5.7,6.5,8.1,,6.0,6.6,5.5,6.6,6.6,5.4,5.1,,5.9,1.0,,,0.7,,0.70,6.8,5.4,1,0
PS31439,5.5,,5.8,7.8,6.9,7.2,6.1,6.3,,,5.0,8.7,2.8,,6.3,6.5,5.9,5.5,1.8,5.6,,5.3,5.8,5.2,7.1,3.3,5.4,5.7,6.1,,,,1.0,5.7,,0.78,5.3,6.1,2,1
PS31630,1.0,,8.2,7.7,6.7,6.9,7.4,6.7,,,6.0,7.3,6.5,,7.1,7.3,5.5,6.8,,5.8,,6.2,6.6,1.6,5.9,,5.3,,,,6.2,,1.0,3.0,,0.73,5.3,5.5,2,1
PS31786,1.0,,6.0,8.0,7.7,7.8,6.5,6.5,6.7,5.9,7.0,6.6,7.3,,7.4,8.3,1.0,5.5,7.2,7.3,,7.0,8.4,6.3,5.8,6.1,7.3,6.8,5.7,6.7,7.8,,1.0,7.0,,0.80,6.9,6.4,2,0
PS31939,1.0,,6.7,8.3,7.8,7.5,*,*,*,*,7.4,7.5,6.9,,7.6,8.3,6.0,6.8,8.9,6.7,,1.0,7.2,6.6,6.6,8.1,8.8,9.1,9.0,9.0,8.0,,1.0,5.9,,0.85,5.1,5.8,1,1
PS32105,8.3,,7.2,6.2,6.9,7.7,7.8,6.7,7.0,6.6,7.7,7.3,6.2,,7.9,8.5,8.1,5.6,6.1,8.0,,5.6,7.8,6.3,5.2,7.7,5.2,8.5,7.2,6.6,9.1,,1.0,5.9,,0.77,5.7,5.4,3,0
PS32496,8.9,,8.0,5.0,5.9,8.6,4.7,,,,5.7,8.9,6.5,,6.7,9.5,5.5,,6.7,7.2,,5.3,,5.4,5.9,7.9,6.1,3.3,1.9,7.9,6.2,,,3.5,,0.69,6.3,6.4,2,0
PS32517,8.8,,7.3,6.7,7.4,8.2,7.2,7.1,5.3,5.4,7.5,7.6,8.2,,6.3,9.0,7.5,5.7,6.2,7.7,,6.0,7.0,6.6,6.2,7.1,7.0,7.3,8.5,6.7,7.9,,1.0,6.1,,0.70,5.5,7.0,1,1
PS32645,9.9,,7.3,5.7,7.4,6.3,6.8,6.8,,,6.3,6.0,7.0,,6.6,8.5,7.0,5.0,5.5,7.0,,5.0,6.3,5.5,5.8,6.1,6.8,5.1,5.9,8.1,6.9,,1.0,7.5,,0.81,5.9,5.8,3,0
PS32675,8.0,,,5.3,7.4,,8.6,7.2,6.6,6.5,5.9,5.9,7.6,,6.0,7.3,8.4,6.0,6.4,7.9,,6.6,6.4,5.5,6.3,7.9,6.2,,6.5,6.1,6.3,,,6.9,,0.82,6.0,5.9,1,0
PS32679,7.8,,7.2,5.5,7.0,7.0,7.4,6.6,7.7,7.8,6.8,6.9,7.6,,5.6,7.5,5.6,6.6,7.1,6.1,,5.6,5.8,6.6,6.2,8.0,6.9,6.0,5.4,6.1,8.2,,1.0,6.5,,0.77,6.1,6.3,2,1
PS32787,7.8,,6.7,6.3,7.2,7.2,5.9,6.7,6.3,5.9,7.0,6.1,7.9,,8.4,8.0,7.0,7.0,6.1,6.1,,5.4,7.8,6.2,6.7,9.2,5.7,8.2,5.4,7.5,7.0,,1.0,5.8,,0.66,6.1,5.8,3,1
PS32791,8.8,,6.3,,0.5,,6.7,6.6,6.0,6.6,6.9,6.2,8.0,,6.8,9.0,5.5,7.1,6.2,6.7,,6.0,7.7,,6.1,8.2,,,,,7.8,,1.0,,,0.66,6.3,5.4,2,0
PS32947,8.3,,8.2,7.7,7.0,7.6,*,*,9.6,8.8,9.6,6.7,7.6,,7.8,9.2,9.0,8.3,8.1,8.6,,7.5,8.9,7.8,6.7,7.5,8.2,8.9,8.4,7.9,9.5,,1.0,7.9,,0.73,7.0,6.0,3,1
PS33053,9.0,,9.3,,6.7,7.1,1.0,8.9,8.5,8.7,9.2,5.5,8.3,,7.5,8.3,5.5,7.5,6.2,7.8,,5.4,4.9,6.4,3.7,7.6,5.7,6.8,5.7,5.6,9.4,,,,,0.76,6.2,5.8,1,0
PS33086,7.5,,8.0,8.5,6.8,6.7,8.3,6.6,6.6,6.9,8.6,7.2,6.7,,7.6,8.8,6.7,5.6,5.4,8.2,,6.0,7.3,6.3,6.5,5.5,5.6,5.6,6.2,7.7,7.8,,1.0,5.9,,0.67,6.4,5.4,3,0
PS33092,7.5,,7.2,7.2,7.5,6.9,6.4,7.4,6.6,7.7,6.2,5.9,7.6,,7.1,8.5,8.0,6.0,6.5,8.1,,6.4,7.9,6.2,8.4,8.0,6.9,6.8,6.5,6.4,8.4,,1.0,6.5,,0.77,7.5,6.4,3,0
PS33430,8.0,,8.0,,6.6,7.2,7.0,6.7,6.5,6.5,5.7,6.7,7.5,,3.3,9.7,7.9,6.9,6.5,,,,7.2,,3.5,6.7,,0.2,,,5.8,,,,,0.75,6.6,7.0,3,0
PS33524,8.5,,8.0,8.0,8.4,6.9,7.1,7.3,7.5,6.9,6.8,6.3,7.2,,6.1,8.5,8.8,7.6,8.6,5.2,,8.0,6.8,7.8,5.5,7.6,5.3,5.7,8.3,7.2,6.9,,1.0,6.2,,0.77,6.2,6.4,3,0
PS33644,7.3,,6.7,5.8,7.7,7.1,6.9,5.7,7.5,6.1,6.8,7.2,7.2,,6.9,7.8,7.0,6.8,6.6,7.4,,6.0,7.6,6.0,6.2,7.7,5.9,6.3,5.8,7.2,6.0,,1.0,6.9,,0.81,5.1,5.0,3,0
PS33659,1.0,,7.2,5.5,8.6,7.8,6.4,6.2,6.5,7.5,7.2,9.0,8.5,,6.8,8.2,9.3,6.0,8.2,7.3,,6.0,7.5,5.7,6.6,8.6,8.1,7.0,6.2,7.6,8.1,7.6,1.0,6.3,,0.66,6.4,7.2,2,1
PS33697,6.5,,7.2,7.3,8.3,6.8,6.5,5.0,6.0,6.1,6.8,6.8,8.0,,7.0,8.8,7.6,6.8,7.4,7.8,,7.5,7.3,6.2,6.6,5.9,6.4,6.6,7.2,5.3,5.0,,1.0,7.8,,0.82,7.5,7.1,1,0
PS33864,7.3,,6.2,6.7,6.9,6.3,7.6,6.2,6.7,6.3,7.7,6.0,7.7,,7.1,6.8,7.0,6.3,6.2,6.7,,7.0,7.6,5.7,6.0,7.3,5.9,6.1,5.6,6.1,9.1,,1.0,6.8,,0.80,5.4,5.1,3,0
PS33950,9.6,,9.2,*,8.6,6.4,*,*,9.8,8.5,9.7,9.8,9.5,,8.2,9.0,9.0,6.3,8.5,6.5,,1.0,7.0,7.6,6.2,8.7,7.8,8.0,6.3,7.0,1.0,,1.0,6.3,,0.83,7.3,7.0,2,0
PS33956,7.2,,9.3,7.2,7.4,8.2,6.6,6.4,7.3,6.1,6.0,5.9,8.1,,7.1,9.2,8.7,9.0,6.4,8.3,,6.4,8.5,,5.3,7.6,,,,,8.3,,1.0,,,0.74,7.3,5.3,3,1
PS33960,6.4,,9.5,7.3,7.2,6.6,9.0,8.0,6.5,7.2,5.6,5.4,7.0,,7.2,7.8,9.0,9.0,5.8,7.0,,5.0,7.5,6.2,5.5,7.7,5.7,6.1,6.8,5.6,7.9,,1.0,6.0,,0.67,5.1,5.7,2,0
PS33994,8.1,,8.0,6.0,7.1,7.8,6.9,7.0,7.1,6.9,6.8,6.1,9.0,,9.5,8.7,1.0,8.6,9.5,6.5,,7.4,8.3,,6.3,7.8,,,,,9.4,,1.0,,,0.78,5.1,5.9,2,1
PS34070,9.0,,8.2,5.8,7.3,8.3,8.0,7.2,7.7,7.1,7.4,5.9,7.9,,6.1,8.2,9.5,5.5,6.9,6.3,,8.0,9.0,7.4,7.2,6.9,7.8,7.1,8.1,6.7,1.0,,,1.0,,0.82,6.2,5.5,3,0
PS34143,9.3,,7.3,7.3,8.2,7.2,9.0,8.1,7.0,7.3,8.2,5.6,8.5,,8.0,9.5,7.5,1.0,9.1,7.4,,7.0,8.7,9.5,6.2,6.6,9.0,6.0,6.5,5.6,6.1,,1.0,7.1,,0.69,6.7,7.1,3,1
PS34324,8.4,,6.0,9.0,6.8,8.2,7.2,5.8,6.9,7.2,8.1,7.0,7.0,,6.2,8.8,9.8,8.5,7.9,6.6,,6.0,5.6,,5.9,6.8,,,,,7.5,,1.0,,,0.78,5.6,7.2,1,1
PS34337,8.6,,8.0,7.0,7.2,7.3,8.4,6.9,8.2,6.5,8.1,8.5,7.7,,6.9,9.8,8.0,5.9,7.4,7.6,,6.4,7.4,,7.6,8.9,,,,,9.7,,1.0,,,0.80,5.9,5.1,1,0
PS34428,7.8,,6.3,7.8,7.6,7.4,5.9,4.3,,,7.0,7.5,7.5,,6.3,7.2,1.0,5.5,6.8,6.9,,5.6,5.6,,5.4,7.4,,,,,7.3,,1.0,,,0.83,5.7,7.2,2,0
PS34624,6.0,,7.5,7.2,7.7,6.6,9.2,7.1,7.6,6.6,9.1,8.0,7.9,,7.9,7.7,6.2,9.8,7.7,7.1,,8.9,6.0,7.9,7.9,6.3,6.6,6.8,5.8,6.4,8.1,,1.0,7.8,,0.81,5.8,5.8,2,1
PS34715,7.5,,7.5,7.2,6.9,6.9,9.6,8.0,7.8,7.6,8.0,8.9,7.7,,9.0,9.8,5.5,5.5,6.6,7.4,,7.0,7.5,7.3,6.2,8.3,7.3,5.8,8.5,6.9,7.3,,1.0,6.2,,0.81,6.8,6.3,1,0
PS34793,7.0,,7.5,7.0,7.0,6.4,8.4,6.4,1.2,,7.9,7.4,1.2,,6.3,8.2,1.0,9.5,6.4,6.5,,7.5,7.3,5.7,5.9,7.4,5.6,6.7,,6.4,7.7,,,6.9,,0.74,6.5,6.4,2,1
PS35011,8.5,,6.7,7.5,6.8,7.3,8.9,6.9,7.8,7.2,8.3,5.4,7.2,,5.9,7.5,7.7,5.7,6.6,6.1,,8.5,6.6,,6.5,5.8,,,,,7.6,,1.0,,,0.80,6.6,6.2,3,1
PS35127,6.0,,1.0,6.3,7.5,7.5,9.2,8.0,7.9,7.1,8.3,7.8,8.9,,7.6,7.3,8.0,6.8,6.3,7.5,,8.8,8.2,5.0,6.5,6.7,6.6,,6.3,3.0,8.0,,,1.8,,0.81,5.0,6.8,3,0
PS35801,5.0,,7.2,7.7,6.2,7.1,7.0,6.2,6.3,6.7,6.6,6.2,8.0,,8.2,8.7,9.0,6.0,6.6,5.1,,5.0,8.5,5.9,8.4,8.2,5.9,6.5,6.2,5.7,8.5,,1.0,6.5,,0.80,7.3,7.0,1,1
PS35972,9.0,,7.5,8.8,6.9,6.9,6.3,7.5,5.4,,7.1,7.4,7.3,,7.5,9.2,7.0,0.5,0.7,5.9,,6.0,8.0,2.2,7.0,8.0,6.3,3.1,5.6,6.8,8.3,,,,,0.68,7.4,5.0,2,1
PS36155,1.0,,7.5,*,5.8,7.5,*,*,8.8,8.0,8.3,5.6,6.8,,5.2,9.0,5.7,6.0,5.5,6.9,,8.3,5.8,,5.1,6.4,,,,,8.2,,,,,0.85,6.4,6.6,2,0
PS36179,8.0,,6.7,7.7,4.4,7.7,9.7,8.3,7.6,7.9,7.4,6.4,8.0,,6.4,8.2,,,7.4,7.7,,6.6,6.8,,4.3,4.8,,,,,6.1,,,,,0.69,5.5,6.1,1,1
PS36181,7.0,,6.8,7.2,6.8,7.2,6.5,6.0,4.4,,7.1,6.1,5.8,,6.5,8.2,5.5,0.8,,6.9,,6.0,7.4,,4.0,7.6,,,,,6.1,,,,,0.74,5.1,7.0,1,1
PS36338,8.4,,7.2,7.3,7.1,7.9,7.0,,,,7.6,6.7,8.5,,7.8,9.2,9.0,,6.5,8.0,,,,1.3,,7.4,,1.3,,,1.0,,,,,0.85,7.3,6.0,2,1
PS36407,7.6,,1.0,7.2,7.8,7.0,7.7,5.8,,,7.4,6.5,,,,6.3,0.2,,,,,,,,,5.6,,,,,,,,,,0.71,7.3,5.5,3,1
PS36453,1.0,,6.3,7.8,6.4,6.8,8.6,6.8,6.1,6.3,5.6,7.4,6.3,,6.1,8.7,6.0,6.0,6.1,6.7,,6.0,7.0,6.2,5.3,5.8,5.3,,,,7.0,,,,,0.71,5.8,5.1,1,1
PS36589,9.0,,6.3,6.2,,8.3,8.4,7.8,,,6.5,6.3,0.3,,6.3,,,0.5,,,,,2.1,,,,6.4,,,,0.8,,,,,0.80,6.0,5.8,1,0
PS36881,9.9,,6.8,8.8,,8.6,7.1,7.4,7.7,6.5,9.3,9.2,9.7,,9.1,8.5,5.0,7.5,6.7,9.0,,6.5,8.2,,7.8,8.1,,,,,7.0,,1.0,,,0.73,6.2,6.2,3,0
PS37097,8.7,,8.7,7.5,,7.5,5.8,6.6,6.1,7.4,5.9,6.9,8.2,,6.1,8.5,6.5,5.4,5.6,6.4,,5.0,6.9,,6.8,5.3,,,,,6.8,,,,,0.71,5.4,6.2,3,0
PS37195,8.1,,7.7,*,7.6,6.3,8.0,6.4,7.7,,8.0,6.9,7.8,,7.2,8.2,8.5,9.4,7.9,7.7,,8.5,8.3,0.4,,8.9,2.4,,,,8.7,,,,,0.85,6.1,6.4,2,1
PS37201,1.0,9.2,8.5,8.3,,8.8,8.7,8.5,7.7,7.8,1.0,9.3,7.1,,9.1,8.5,9.0,9.7,8.4,8.7,,8.0,7.8,,7.5,8.8,,,,,9.1,,1.0,,,0.66,5.1,6.4,1,1
PS37211,6.5,8.3,8.2,8.2,,8.4,9.1,8.7,8.7,8.0,8.9,7.2,7.5,,8.0,8.8,6.0,6.5,7.4,8.4,,8.0,8.2,,6.1,6.7,,,,,8.5,,1.0,,,0.70,7.1,5.8,2,1
PS37217,1.0,9.6,7.2,8.5,,7.9,8.5,8.1,7.5,7.1,1.0,9.8,9.2,,9.4,8.2,9.0,8.8,9.8,8.4,,9.5,9.2,,8.6,8.6,,,,,9.0,,1.0,,,0.77,5.8,7.1,3,1
PS37226,1.0,8.9,8.5,8.2,,8.0,8.4,7.9,6.8,6.8,9.5,8.0,6.8,,7.8,8.8,6.0,6.0,6.9,8.6,,9.3,8.4,,6.4,7.6,,,,,8.2,,1.0,,,0.69,7.0,5.8,2,0
PS37232,8.5,7.8,7.2,7.0,,7.1,6.7,6.1,6.5,6.1,9.5,6.2,7.4,,7.6,8.0,7.0,7.3,6.1,7.0,,6.7,7.1,,6.1,7.0,,,,,7.4,,1.0,,,0.76,6.6,7.1,3,1
PS37238,1.0,7.9,7.8,9.0,,6.9,7.4,7.8,6.6,7.2,1.0,6.2,8.4,,7.8,9.2,9.5,7.5,6.9,8.4,,9.5,9.1,,6.2,8.3,,,,,9.8,,1.0,,,0.78,5.3,6.2,2,0
PS37253,1.0,9.2,8.0,9.3,,7.9,8.8,7.6,8.1,7.5,9.9,9.3,8.4,,9.2,9.7,9.0,9.5,9.6,8.7,,1.0,8.7,,8.0,8.8,,,,,9.8,,1.0,,,0.32,5.1,6.5,3,1
PS37304,5.0,7.6,7.2,5.7,,6.4,7.7,6.5,,,7.4,3.1,1.2,,4.0,8.7,,,1.4,,4.0,0.5,,2.0,,,3.0,2.7,,,6.8,7.4,,,,0.41,3.5,2.0,4,4
PS37339,8.5,8.1,7.5,7.2,,,*,*,8.9,8.9,9.5,6.9,8.2,3.7,8.3,8.0,7.2,7.5,7.4,8.1,7.0,7.0,6.7,5.7,0.7,8.6,6.6,7.5,2.1,2.8,6.3,7.3,,,,0.68,5.1,6.3,2,1
PS37383,1.0,9.4,8.2,9.3,,8.6,8.4,8.4,7.7,7.4,1.0,8.9,8.4,,8.7,8.7,8.4,9.3,9.4,8.7,,9.5,8.6,,7.9,8.3,,,,,9.2,,1.0,,,0.66,5.2,6.5,3,1
PS37424,1.0,8.7,7.7,8.7,,8.0,8.7,8.1,8.2,7.2,8.7,7.4,8.3,,8.2,9.5,6.0,7.5,7.6,8.1,,9.3,8.2,,7.2,7.5,,,,,8.8,,1.0,,,0.77,6.7,6.3,2,1
PS37457,1.0,8.1,7.7,7.7,,7.4,8.6,7.8,7.2,7.6,8.7,6.4,7.7,,7.6,8.5,6.0,7.0,7.1,7.5,,8.3,7.4,,7.3,7.0,,,,,7.5,,1.0,,,0.75,5.4,7.4,3,1
PS37465,8.0,9.2,8.2,9.3,,7.5,8.7,7.8,6.3,6.6,8.9,7.2,7.3,,8.4,8.8,9.2,8.0,6.7,7.9,,7.5,7.2,,6.9,6.6,,,,,8.3,,1.0,,,0.79,7.0,6.5,1,1
